,answerCode
0,0.6911196911196911
1,0.6915052160953801
2,0.6940015186028854
3,0.8174603174603174
4,0.7545219638242894
5,0.8454332552693209
6,0.6872693726937269
7,0.5209235209235209
8,0.3625154130702836
9,0.8322834645669291
10,0.7048780487804878
11,0.7261682242990655
12,0.8405572755417957
13,0.7134831460674157
14,0.7494669509594882
15,0.8167456556082149
16,0.3295880149812734
17,0.7375565610859729
18,0.842185128983308
19,0.48352816153028694
20,0.7954110898661568
21,0.6805555555555556
22,0.2903885480572597
23,0.6364902506963789
24,0.6868913857677903
25,0.7045751633986929
26,0.7144886363636364
27,0.7252090800477897
28,0.7009569377990431
29,0.8177278401997503
30,0.7878103837471784
31,0.7628032345013477
32,0.8982456140350877
33,0.586
34,0.7765748031496063
35,0.7487883683360258
36,0.6660377358490566
37,0.691609977324263
38,0.7493540051679587
39,0.5537084398976982
40,0.6420454545454546
41,0.5963777490297542
42,0.5235668789808917
43,0.4381338742393509
44,0.6716417910447762
45,0.7821482602118003
46,0.6870342771982116
47,0.30279898218829515
48,0.7755511022044088
49,0.7066666666666667
50,0.7702205882352942
51,0.6794871794871795
52,0.701093560145808
53,0.5174291938997821
54,0.8065984072810012
55,0.7101038715769594
56,0.5774647887323944
57,0.8828828828828829
58,0.4672754946727549
59,0.5885225885225885
60,0.7435549525101763
61,0.5704809286898839
62,0.6670341786108048
63,0.48066298342541436
64,0.5746913580246914
65,0.6698292220113852
66,0.7964285714285714
67,0.6516264428121721
68,0.6370786516853932
69,0.827456864216054
70,0.7483731019522777
71,0.7858032378580324
72,0.42348008385744235
73,0.5709624796084829
74,0.7532163742690059
75,0.5352112676056338
76,0.3578154425612053
77,0.7104037267080745
78,0.6185737976782753
79,0.5963636363636363
80,0.4712430426716141
81,0.6938502673796791
82,0.6972361809045227
83,0.6303724928366762
84,0.6239870340356564
85,0.66005291005291
86,0.6702040816326531
87,0.5906821963394343
88,0.58311345646438
89,0.5258620689655172
90,0.3757292882147025
91,0.538038496791934
92,0.4350580781414995
93,0.8036465638148668
94,0.8401253918495298
95,0.7332421340629275
96,0.5340909090909091
97,0.582010582010582
98,0.8857142857142857
99,0.6580645161290323
100,0.7782805429864253
101,0.7550585729499467
102,0.8237762237762237
103,0.47337278106508873
104,0.7918486171761281
105,0.8252631578947368
106,0.5815899581589958
107,0.8376777251184834
108,0.7735602094240838
109,0.6618217054263565
110,0.6090909090909091
111,0.7015873015873015
112,0.5455904334828101
113,0.71900826446281
114,0.6263414634146341
115,0.49369085173501576
116,0.8049792531120332
117,0.3509933774834437
118,0.6368
119,0.5031731640979148
120,0.6450151057401813
121,0.8228279386712095
122,0.8649122807017544
123,0.543859649122807
124,0.6748704663212435
125,0.8603773584905661
126,0.7600700525394045
127,0.6678765880217786
128,0.5919037199124726
129,0.5
130,0.8005952380952381
131,0.8078817733990148
132,0.6396039603960396
133,0.48384279475982533
134,0.6321428571428571
135,0.8268251273344652
136,0.6783088235294118
137,0.8467583497053045
138,0.6881516587677725
139,0.8170055452865065
140,0.7211413748378729
141,0.7983392645314353
142,0.485859318346628
143,0.7301204819277108
144,0.6410658307210031
145,0.6922257720979765
146,0.6544766708701135
147,0.8053204353083434
148,0.5401301518438177
149,0.7129186602870813
150,0.3823227132579651
151,0.7219003476245655
152,0.6507115135834411
153,0.43447037701974867
154,0.4713656387665198
155,0.5614035087719298
156,0.5523809523809524
157,0.6584269662921348
158,0.6805111821086262
159,0.5885311871227364
160,0.7210718635809987
161,0.5802292263610315
162,0.7234927234927235
163,0.8682745825602969
164,0.6302294197031039
165,0.6018054162487463
166,0.8053830227743272
167,0.25874125874125875
168,0.7130434782608696
169,0.7032258064516129
170,0.6853146853146853
171,0.6634877384196185
172,0.8658922914466737
173,0.4246987951807229
